seed,level,support_entropy,coverage,state_repair,heldout,external,target_success,all_skill_gain
9158,capability,0.4724892034008926,0.0784313725490196,0.6139163161141152,0.636,0.582,0.84,0.3138026860260992
9158,family,0.2631494590483736,0.0392156862745098,0.6093834369450626,0.532,0.478,0.814,0.1956996319788256
9158,failure,0.18160142796369674,0.03137254901960784,0.6480433114025226,0.484,0.432,0.812,0.15678273114153418
9159,global,0.5982751549947165,0.13725490196078433,0.4114463250757606,0.762,0.704,0.766,0.40795669462235273
9159,capability,0.4681974576727209,0.06666666666666667,0.5509214853556759,0.66,0.602,0.858,0.2964449179543892
9159,family,0.2815019843865856,0.047058823529411764,0.6003863031745782,0.508,0.47,0.838,0.1905141043351597
9159,failure,0.19840538758987006,0.03529411764705882,0.6102541154387189,0.486,0.444,0.828,0.16963667226950943
9160,global,0.5728941229757752,0.12941176470588237,0.4158334813122925,0.664,0.584,0.722,0.3695447714667369
9160,capability,0.49737912714582266,0.08627450980392157,0.6152066146326811,0.66,0.598,0.844,0.3207583454652887
9160,family,0.2417805074866036,0.03137254901960784,0.6034973810410879,0.5,0.42,0.82,0.17881605609184892
9160,failure,0.22426803168005172,0.0392156862745098,0.5965010086851598,0.52,0.418,0.83,0.17377459804777098
9161,global,0.586347227829049,0.13333333333333333,0.38343672999633194,0.716,0.676,0.79,0.38960318668217747
9161,capability,0.47743757885760024,0.07450980392156863,0.5770839196238857,0.634,0.582,0.866,0.3228079466868645
9161,family,0.2726262939779565,0.047058823529411764,0.5246853661465057,0.482,0.432,0.848,0.18307750890921437
9161,failure,0.1744919792746096,0.03529411764705882,0.6676511713042464,0.418,0.358,0.84,0.1549639087888333
9162,global,0.5656386656014574,0.12549019607843137,0.302256256606678,0.71,0.624,0.574,0.36594177313190135
9162,capability,0.44986713811705825,0.058823529411764705,0.5717989317298398,0.626,0.566,0.824,0.30854494847241165
9162,family,0.24363764774055252,0.03137254901960784,0.662953791871279,0.504,0.462,0.798,0.19053718112878007
9162,failure,0.20405836463446006,0.0392156862745098,0.5879726972819798,0.53,0.44,0.81,0.16468389513171763
9163,global,0.6189951032025407,0.1411764705882353,0.3525680145740716,0.768,0.698,0.706,0.40169370200638976
9163,capability,0.49705945132258994,0.08627450980392157,0.5557335365488614,0.688,0.618,0.84,0.32243645461730797
9163,family,0.276711532522881,0.043137254901960784,0.5873943177957249,0.526,0.472,0.822,0.18994860298829772
9163,failure,0.19934966345673752,0.03529411764705882,0.6092305871742097,0.506,0.438,0.812,0.1620690864617329
9164,global,0.5819985010927465,0.1411764705882353,0.39313130724995954,0.716,0.658,0.744,0.4029559172022522
9164,capability,0.4871719622629414,0.07450980392156863,0.608585019905914,0.622,0.586,0.816,0.3248212088559782
9164,family,0.2629686010197185,0.0392156862745098,0.548295554773734,0.464,0.454,0.784,0.17579026584111976
9164,failure,0.22281543208222054,0.0392156862745098,0.6174677362569404,0.468,0.418,0.794,0.17917260022326628
9165,global,0.5830261061735912,0.13333333333333333,0.31950809250165185,0.688,0.654,0.628,0.37839836349656686
9165,capability,0.5031011914981546,0.08627450980392157,0.6521089805879787,0.638,0.63,0.842,0.3224265315564411
